bd_class,count,count_percent,area,area_percent,region
1:1 정탐지,14198,58.49,2403455.245368397,55.52,gangseo
1:1 형상 오류,1528,6.3,175949.95437633866,4.06,gangseo
complex 정탐지,4,0.02,461.26215749921073,0.01,gangseo
complex 형상 오류,8,0.03,4814.844209475818,0.11,gangseo
over-seg 정탐지,21,0.09,15226.04917971231,0.35,gangseo
over-seg 형상 오류,10,0.04,4265.336657298802,0.1,gangseo
under-seg 정탐지,7733,31.86,1600835.7919949205,36.98,gangseo
under-seg 형상 오류,391,1.61,75587.19764312028,1.75,gangseo
미탐지,325,1.34,39454.63189248874,0.91,gangseo
오탐지,55,0.23,9156.033914269989,0.21,gangseo
1:1 정탐지,638,27.24,381401.68573103735,35.76,junggu
1:1 형상 오류,154,6.58,101902.4808265339,9.55,junggu
complex 정탐지,10,0.43,3839.932199371524,0.36,junggu
complex 형상 오류,10,0.43,3338.444590800899,0.31,junggu
over-seg 정탐지,15,0.64,16490.246868338563,1.55,junggu
over-seg 형상 오류,33,1.41,57760.47201031085,5.42,junggu
under-seg 정탐지,968,41.33,400498.7422962304,37.55,junggu
under-seg 형상 오류,86,3.67,33115.92948889533,3.11,junggu
미탐지,384,16.4,56072.93817042398,5.26,junggu
오탐지,44,1.88,12086.736906008904,1.13,junggu
1:1 정탐지,5500,51.82,1373951.1886686005,53.7,jungrang
1:1 형상 오류,296,2.79,99455.06166380316,3.89,jungrang
complex 정탐지,20,0.19,26130.37515087379,1.02,jungrang
complex 형상 오류,4,0.04,3892.579004449584,0.15,jungrang
over-seg 정탐지,29,0.27,15465.36389035252,0.6,jungrang
over-seg 형상 오류,41,0.39,62641.51207390301,2.45,jungrang
under-seg 정탐지,4056,38.22,868996.750818744,33.97,jungrang
under-seg 형상 오류,190,1.79,35692.35853894375,1.4,jungrang
미탐지,354,3.34,45860.20025501608,1.79,jungrang
오탐지,123,1.16,26400.04832108008,1.03,jungrang
1:1 정탐지,12992,62.73,2060634.251317751,59.14,mapo
1:1 형상 오류,846,4.08,145840.81131451452,4.19,mapo
complex 정탐지,14,0.07,2411.875404465386,0.07,mapo
complex 형상 오류,17,0.08,5227.780099639931,0.15,mapo
over-seg 정탐지,34,0.16,15213.28341447263,0.44,mapo
over-seg 형상 오류,19,0.09,8269.361997743987,0.24,mapo
under-seg 정탐지,5513,26.62,1049536.4067011725,30.12,mapo
under-seg 형상 오류,337,1.63,54424.36516923212,1.56,mapo
미탐지,808,3.9,110487.2901257305,3.17,mapo
오탐지,130,0.63,32113.05313006071,0.92,mapo
1:1 정탐지,3014,65.14,973480.8986507904,61.77,seocho
1:1 형상 오류,276,5.96,110196.07345072395,6.99,seocho
complex 형상 오류,8,0.17,6393.186013597151,0.41,seocho
over-seg 정탐지,73,1.58,51144.78471055253,3.25,seocho
over-seg 형상 오류,41,0.89,20611.27267801511,1.31,seocho
under-seg 정탐지,686,14.83,272726.0856295066,17.3,seocho
under-seg 형상 오류,32,0.69,9327.12001095733,0.59,seocho
미탐지,390,8.43,82588.9667289875,5.24,seocho
오탐지,107,2.31,49553.6773423001,3.14,seocho
1:1 정탐지,944,63.83,629912.0127218019,55.51,songpa
1:1 형상 오류,78,5.27,112572.12181863489,9.92,songpa
over-seg 정탐지,18,1.22,21988.328558861787,1.94,songpa
over-seg 형상 오류,38,2.57,53408.635518006566,4.71,songpa
under-seg 정탐지,98,6.63,135484.51913200298,11.94,songpa
under-seg 형상 오류,6,0.41,8974.533319117689,0.79,songpa
미탐지,208,14.06,114066.76175397556,10.05,songpa
오탐지,89,6.02,58451.90898094205,5.15,songpa
1:1 정탐지,348,49.79,157471.60958123984,56.98,suseo
1:1 형상 오류,28,4.01,11709.368587943814,4.24,suseo
complex 정탐지,5,0.72,730.0040922638897,0.26,suseo
over-seg 정탐지,7,1.0,5180.334417138804,1.87,suseo
over-seg 형상 오류,3,0.43,857.0833034418481,0.31,suseo
under-seg 정탐지,192,27.47,80260.29399776521,29.04,suseo
under-seg 형상 오류,7,1.0,1249.604344670821,0.45,suseo
미탐지,66,9.44,11437.176186694704,4.14,suseo
오탐지,43,6.15,7482.38574590126,2.71,suseo
1:1 정탐지,496,73.92,395322.0891984349,74.97,yangcheon
1:1 형상 오류,54,8.05,42936.18581859432,8.14,yangcheon
complex 형상 오류,4,0.6,3458.572316366563,0.66,yangcheon
over-seg 정탐지,9,1.34,7951.638961474209,1.51,yangcheon
over-seg 형상 오류,9,1.34,9925.173632621636,1.88,yangcheon
under-seg 정탐지,51,7.6,60755.957307120974,11.52,yangcheon
미탐지,39,5.81,5352.489889501216,1.02,yangcheon
오탐지,9,1.34,1576.5087649439474,0.3,yangcheon
1:1 정탐지,564,48.92,503852.35958311183,47.84,youngdeungpo
1:1 형상 오류,98,8.5,116733.4702177733,11.08,youngdeungpo
complex 정탐지,5,0.43,10410.949494421033,0.99,youngdeungpo
complex 형상 오류,5,0.43,26002.17031414565,2.47,youngdeungpo
over-seg 정탐지,3,0.26,2016.9326371727957,0.19,youngdeungpo
over-seg 형상 오류,40,3.47,109013.84611351894,10.35,youngdeungpo
under-seg 정탐지,142,12.32,204638.651067506,19.43,youngdeungpo
under-seg 형상 오류,25,2.17,13839.369066783069,1.31,youngdeungpo
미탐지,186,16.13,41309.50479200759,3.92,youngdeungpo
오탐지,85,7.37,25420.852207407992,2.41,youngdeungpo
