지역,클래스,GT 수,Pred 수,TP,FN,FP,재현율,정밀도
gangseo,갱신,761,5160,569,192,4591,0.748,0.11
gangseo,변화없음,13455,8739,8539,4916,200,0.635,0.977
gangseo,소멸,141,458,73,68,385,0.518,0.159
gangseo,신축,113,65,39,74,26,0.345,0.6
gangseo,합계,14470,14422,9220,5250,5202,0.637,0.639
junggu,갱신,44,413,21,23,392,0.477,0.051
junggu,변화없음,1553,714,709,844,5,0.457,0.993
junggu,소멸,48,518,44,4,474,0.917,0.085
junggu,신축,57,62,20,37,42,0.351,0.323
junggu,합계,1702,1707,794,908,913,0.467,0.465
jungrang,갱신,452,1071,238,214,833,0.527,0.222
jungrang,변화없음,5736,4758,4560,1176,198,0.795,0.958
jungrang,소멸,134,493,109,25,384,0.813,0.221
jungrang,신축,319,318,211,108,107,0.661,0.664
jungrang,합계,6641,6640,5118,1523,1522,0.771,0.771
mapo,갱신,588,2133,356,232,1777,0.605,0.167
mapo,변화없음,11328,9036,8803,2525,233,0.777,0.974
mapo,소멸,159,906,96,63,810,0.604,0.106
mapo,신축,121,152,48,73,104,0.397,0.316
mapo,합계,12196,12227,9303,2893,2924,0.763,0.761
seocho,갱신,153,397,50,103,347,0.327,0.126
seocho,변화없음,2350,1794,1688,662,106,0.718,0.941
seocho,소멸,170,482,105,65,377,0.618,0.218
seocho,신축,93,92,42,51,50,0.452,0.457
seocho,합계,2766,2765,1885,881,880,0.681,0.682
songpa,갱신,18,76,4,14,72,0.222,0.053
songpa,변화없음,718,503,496,222,7,0.691,0.986
songpa,소멸,62,219,60,2,159,0.968,0.274
songpa,신축,80,102,16,64,86,0.2,0.157
songpa,합계,878,900,576,302,324,0.656,0.64
suseo,갱신,17,56,5,12,51,0.294,0.089
suseo,변화없음,372,276,271,101,5,0.728,0.982
suseo,소멸,13,70,10,3,60,0.769,0.143
suseo,신축,20,49,7,13,42,0.35,0.143
suseo,합계,422,451,293,129,158,0.694,0.65
yangcheon,갱신,1,43,0,1,43,0.0,0.0
yangcheon,변화없음,343,264,263,80,1,0.767,0.996
yangcheon,소멸,9,46,8,1,38,0.889,0.174
yangcheon,신축,14,14,5,9,9,0.357,0.357
yangcheon,합계,367,367,276,91,91,0.752,0.752
youngdeungpo,갱신,47,121,11,36,110,0.234,0.091
youngdeungpo,변화없음,543,323,295,248,28,0.543,0.913
youngdeungpo,소멸,35,181,31,4,150,0.886,0.171
youngdeungpo,신축,60,94,11,49,83,0.183,0.117
youngdeungpo,합계,685,719,348,337,371,0.508,0.484
