cls_10,count,count_percent,area,area_percent
1:1 FN,70,2.99,65416.36840771912,6.13
1:1 FP,70,2.99,26145.032715872392,2.45
1:1 TP,654,27.92,394401.2822012676,36.98
1:N FN,11,0.47,40263.06450400888,3.78
1:N FP,22,0.94,17497.407506301974,1.64
1:N TP,15,0.64,16490.246868338563,1.55
FN,500,21.35,66761.43067843307,6.26
FP,44,1.88,12086.736906008904,1.13
N:1 FN,26,1.11,10925.862274001001,1.02
N:1 FP,12,0.51,6699.992717149431,0.63
N:1 TP,898,38.34,402641.80751867825,37.75
N:N FN,6,0.26,2324.6673999994055,0.22
N:N FP,4,0.17,1013.7771908014931,0.1
N:N TP,10,0.43,3839.932199371524,0.36
