cls_10,count,count_percent,area,area_percent
1:1 FN,116,2.51,70277.1693919879,4.46
1:1 FP,116,2.51,26390.01635314061,1.67
1:1 TP,3066,66.26,1000335.098844097,63.47
1:N FN,9,0.19,11687.456755995834,0.74
1:N FP,23,0.5,6185.59587366966,0.39
1:N TP,82,1.77,53883.00475890215,3.42
FN,409,8.84,84129.69056098984,5.34
FP,107,2.31,49553.6773423001,3.14
N:1 FN,10,0.22,2256.685318498916,0.14
N:1 FP,5,0.11,778.165574969423,0.05
N:1 TP,676,14.61,264152.31842728215,16.76
N:N FN,4,0.09,4254.1932075013065,0.27
N:N FP,4,0.09,2138.9928060958446,0.14
