cls_10,count,count_percent,area,area_percent
1:1 FN,46,3.99,82819.35265801438,7.86
1:1 FP,46,3.99,28155.321676467403,2.67
1:1 TP,576,49.96,531587.8035959098,50.47
1:N FN,13,1.13,74445.15958750671,7.07
1:N FP,27,2.34,34568.68652601222,3.28
1:N TP,3,0.26,2016.9326371727955,0.19
FN,197,17.09,42687.96401700636,4.05
FP,85,7.37,25420.852207407992,2.41
N:1 FN,10,0.87,5396.353588495568,0.51
N:1 FP,5,0.43,2839.0153093052345,0.27
N:1 TP,136,11.8,187148.14944198317,17.77
N:N FN,2,0.17,16940.67635299352,1.61
N:N FP,2,0.17,8800.888401152008,0.84
N:N TP,5,0.43,10410.949494421031,0.99
